"DaysSinceEpoch","Year","Month","Day","CashInSettlement","CashInOut","Dividends","SecuritiesClosingValue","SecuritiesOpeningCost","EquityValueWithLoan","YesterdaysEquityValueWithLoan","OpeningCashBalance","SecuritiesOpeningValue","MarginCall","BenchmarkValue"
"10959","2000","1","3","0","0","0","0","0","100000","100000","100000","0","false","1455.22"
"10960","2000","1","4","0","-99628.91","0","99628.91","-99628.91","100000","100000","100000","0","false","1399.42"
"10961","2000","1","5","0","0","0","100917.97","-99628.91","101289.06","100000","371.09","99645.43","false","1402.11"
"10962","2000","1","6","0","0","0","102288.88","-99628.91","102659.97","101289.06","371.09","100882.11","false","1403.45"
"10963","2000","1","7","0","0","0","104133.95","-99628.91","104505.04","102659.97","371.09","103044","false","1441.47"
"10966","2000","1","10","0","0","0","104037.98","-99628.91","104409.07","104505.04","371.09","105248.99","false","1457.6"
"10967","2000","1","11","0","0","0","104451.08","-99628.91","104822.17","104409.07","371.09","104065.54","false","1438.56"
"10968","2000","1","12","0","0","0","104363.36","-99628.91","104734.45","104822.17","371.09","104478.2","false","1432.25"
"10969","2000","1","13","0","0","0","104106.54","-99628.91","104477.63","104734.45","371.09","104378.89","false","1449.68"
"10970","2000","1","14","0","0","0","102738.82","-99628.91","103109.91","104477.63","371.09","104115.12","false","1465.15"
"10973","2000","1","17","0","0","0","102738.82","-99628.91","103109.91","103109.91","371.09","104115.12","false","1465.15"
"10974","2000","1","18","0","0","0","101218.56","-99628.91","101589.65","103109.91","371.09","101644.36","false","1455.14"
"10975","2000","1","19","0","0","0","101544.56","-99628.91","101915.65","101589.65","371.09","101048.47","false","1455.9"
"10976","2000","1","20","0","0","0","99246.61","-99628.91","99617.7","101915.65","371.09","101442.98","false","1445.57"
"10977","2000","1","21","0","0","0","98840.86","-99628.91","99211.95","99617.7","371.09","99816.11","false","1441.36"
"10980","2000","1","24","0","0","0","96894.87","-99628.91","97265.96","99211.95","371.09","99332.47","false","1401.91"
"10981","2000","1","25","0","0","0","95191.25","-99628.91","95562.34","97265.96","371.09","96544.68","false","1410.03"
"10982","2000","1","26","0","0","0","96342.54","-99628.91","96713.63","95562.34","371.09","95334.37","false","1404.09"
"10983","2000","1","27","0","0","0","95640.42","-99628.91","96011.51","96713.63","371.09","96481.97","false","1398.56"
"10984","2000","1","28","0","0","0","94221.83","-99628.91","94592.92","96011.51","371.09","95432.2","false","1360.16"
"10987","2000","1","31","0","0","0","95538.4","-99628.91","95909.49","94592.92","371.09","94728.61","false","1394.46"
"10988","2000","2","1","0","47.44","0","95585.02","-99628.91","96003.55","95909.49","371.09","95549.01","false","1409.28"
"10989","2000","2","2","0","0","0","95859.51","-99628.91","96278.04","96003.55","418.53","95509.07","false","1409.12"
"10990","2000","2","3","0","0","0","96747.03","-99628.91","97165.56","96278.04","418.53","96142.7","false","1424.97"
